neighborhood,price_amount,latitude,longitude,quantile
Parque Avellaneda,41417.70588,-34.644826,-58.479735,1
La Boca,51606.11927,-34.634433,-58.360732,1
Villa Soldati,56875.95556,-34.666529,-58.446587,1
Parque Chacabuco,58186.25658,-34.632665,-58.442593,1
Villa Lugano,60224.27848,-34.674153,-58.477689,1
Floresta,63035.82218,-34.628105,-58.483791,1
Saavedra,64870.85562,-37.763765,-62.353607,2
Barracas,69242.56958,-34.644672,-58.383021,2
Liniers,69420.1,-34.644776,-58.516648,2
Mataderos,69627.07677,-34.659074,-58.501781,2
Parque Patricios,72580.3743,-34.637994,-58.400626,2
Monte Castro,72834.2735,-34.618721,-58.50514,2
Chacarita,72941.82203,-34.587963,-58.451754,3
Boedo,73046.96977,-34.630403,-58.418867,3
San Nicolás,73170.69048,19.164167,-97.5475,3
San Telmo,73212.28448,-34.622483,-58.371574,3
Villa Pueyrredón,74524.64655,-34.579448,-58.504085,3
Villa del Parque,76375.91429,-34.605745,-58.48893,3
La Paternal,78568.625,-34.596285,-58.47154,4
Constitución,80879.66667,-34.625789,-58.383865,4
Flores,81065.05893,-34.628203,-58.462218,4
Villa Santa Rita,81423.07692,-34.616078,-58.482742,4
San Cristóbal,82623.78049,-34.624505,-58.401755,4
Villa Crespo,82884.65975,-34.598149,-58.441867,4
Nueva Pompeya,84487.63452,-34.650262,-58.417815,5
Monserrat,85019.4898,-34.612456,-58.379443,5
Retiro,85284.4125,-34.588576,-58.372681,5
Villa Ortúzar,86886.2093,-34.581302,-58.468245,5
Versalles,88014.67708,-34.62914,-58.523078,5
Villa Urquiza,92103.99493,-34.57195,-58.487245,5
Caballito,93209.72458,-34.620077,-58.442489,6
Parque Chas,93957.14286,-34.585898,-58.479701,6
Colegiales,97137.5946,-34.574691,-58.453027,6
Almagro,97520.40293,-34.609837,-58.422461,6
Villa Devoto,101185.3693,-34.600776,-58.514059,6
Coghlan,101917.98,-34.560088,-58.475476,6
Villa Real,106151.8519,-34.619079,-58.524827,7
Vélez Sársfield,107314.7778,-34.631272,-58.493982,7
Recoleta,107502.7263,-34.583067,-58.393535,7
Villa General Mitre,109708.3333,-34.61031,-58.469314,7
Villa Luro,109729.8976,-34.637075,-58.501508,7
Palermo,111397.4096,-34.574359,-58.422727,7
Balvanera,113274.4065,-34.609355,-58.403236,8
Agronomía,115020.5842,-34.591516,-58.485385,8
Belgrano,122853.6705,-34.553383,-58.446549,8
Núñez,130533.528,-34.545348,-58.462149,8
Villa Riachuelo,130874.3529,-34.691206,-58.47145,8
Puerto Madero,166979.3495,-34.60998,-58.354368,8
